UniqueID,BottleNo,True Bottle ID,NumID,Location No,Distance from Dam,Lake ID (4 dig.),Sampling Type (B/S),NH4Results,NOxResults,PO4Results,TPResults,NH4 BDL,Nox BDL,PO4 BDL,TP BDL,Microcystin Concentration,Chla (ug/L),Pheo (Avg 24 and on),NPOC (AVG) mg/L? [TOC],TN (AVG) mg/L? [TOC],Secchi Depth (m),Lat,Long,Month,Day,Year,Exclude,Date,FLIR,TIMEHHMMSS,DATEMMDDYYYY,FILENAME,FAULTCODE,BAROMETERMMHG,CONDSCM,SPCONDSCM,TDSMGL,SALPSU,NLFCONDSCM,DEPTHM,VERTICALPOSITIONM,PRESSUREPSIA,ODOSAT,ODOMGL,ODOCB,GPSLATITUDE,GPSLONGITUDE,ALTITUDEM,ORPMV,PH,PHMV,CABLEPWRV,BATTERYV,TEMPC,TURBIDITYFNU,TSSMGL,SITE
10106,20230531-2,20230531-MISS-S?,?,?,,MISS,Shore,,,,0.116,0.05,0.05,0.05,0.116,0.065223729,16.23,NO DATA,,,,40.71428,-85.93761,5,31,2023,FALSE,5/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10107,20230531-3,20230531-MISS-S?,?,?,,MISS,Shore,,,,0.061,0.05,0.05,0.05,0.05,0.001628287,12.36,NO DATA,,,,40.705238,-85.953679,5,31,2023,FALSE,5/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10108,20230531-4,20230531-MISS-S?,?,?,,MISS,Shore,,,,0.1505,0.05,0.05,0.05,0.1505,NO DATA,28.03,NO DATA,,,,40.70392,-85.93648,5,31,2023,FALSE,5/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10109,20230531-5,20230531-MISS-S?,?,?,,MISS,Shore,,,,0.193,0.05,0.05,0.05,0.193,NO DATA,10.95,NO DATA,,,,40.70238,-85.93608,5,31,2023,FALSE,5/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10110,20230531-6,20230531-MISS-S?,?,?,,MISS,Shore,1.26565,4.297,0.4465,0.182,1.26565,4.297,0.4465,0.182,NO DATA,18.03,NO DATA,,,,40.7007,-85.93527,5,31,2023,FALSE,5/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10111,20230531-7,20230531-MISS-S?,?,?,,MISS,Shore,1.01905,4.6455,0.405,0.097,1.01905,4.6455,0.405,0.05,NO DATA,45.52,NO DATA,,,,40.68033,-85.89539,5,31,2023,FALSE,5/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10112,20230531-8,20230531-MISS-S?,?,?,,MISS,Shore,1.58325,2.955,0.522,0.1765,1.58325,2.955,0.522,0.1765,0.034368242,43.74,NO DATA,,,,40.668,-85.84876,5,31,2023,FALSE,5/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,20230615-1,20230615-MISS-S?,?,?,,MISS,Shore,,,,,0.05,0.05,0.05,0.05,7.793880178,130.47,NO DATA,,,,40.71406,-85.93708,6,15,2023,FALSE,6/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130,20230615-2,20230615-MISS-S?,?,?,,MISS,Shore,,,,,0.05,0.05,0.05,0.05,NO DATA,25.26,NO DATA,,,,40.71428,-85.93761,6,15,2023,FALSE,6/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131,20230615-3,20230615-MISS-S?,?,?,,MISS,Shore,0.2629,4.475,-0.006,,0.2629,4.475,0.05,0.05,0.224532296,16.11,NO DATA,,,,40.7052693,-85.9537777,6,15,2023,FALSE,6/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
